Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,14-01-2021,,,,,,,,
Gegevens beschikbaar:,06-06-2012,tot:,18-09-2019,,,,,,,,
Datum: ,14-01-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B28H1804,001,,256559,485068,1944,01-12-2011,01-12-2011,06-06-2012,,,,
B28H1804,001,,256559,485068,1944,01-12-2011,06-06-2012,18-09-2019,2001,57,1846,1796


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B28H1804,001,10-01-2014,50,-7,1951,,,,,,
B28H1804,001,11-01-2014,51,-6,1950,,,,,,
B28H1804,001,12-01-2014,51,-6,1950,,,,,,
B28H1804,001,13-01-2014,51,-6,1950,,,,,,
B28H1804,001,14-01-2014,51,-6,1950,,,,,,
B28H1804,001,15-01-2014,51,-6,1950,,,,,,
B28H1804,001,16-01-2014,51,-6,1950,,,,,,
B28H1804,001,17-01-2014,51,-6,1950,,,,,,
B28H1804,001,18-01-2014,51,-6,1950,,,,,,
B28H1804,001,19-01-2014,49,-8,1952,,,,,,
B28H1804,001,20-01-2014,49,-8,1952,,,,,,
B28H1804,001,21-01-2014,49,-8,1952,,,,,,
B28H1804,001,22-01-2014,49,-8,1952,,,,,,
B28H1804,001,23-01-2014,49,-8,1952,,,,,,
B28H1804,001,24-01-2014,49,-8,1952,,,,,,
B28H1804,001,25-01-2014,49,-8,1952,,,,,,
B28H1804,001,26-01-2014,47,-10,1954,,,,,,
B28H1804,001,27-01-2014,46,-11,1955,,,,,,
B28H1804,001,28-01-2014,47,-10,1954,,,,,,
B28H1804,001,29-01-2014,47,-10,1954,,,,,,
B28H1804,001,30-01-2014,48,-9,1953,,,,,,
B28H1804,001,31-01-2014,48,-9,1953,,,,,,
B28H1804,001,01-02-2014,48,-9,1953,,,,,,
B28H1804,001,02-02-2014,48,-9,1953,,,,,,
B28H1804,001,03-02-2014,49,-8,1952,,,,,,
B28H1804,001,04-02-2014,49,-8,1952,,,,,,
B28H1804,001,05-02-2014,49,-8,1952,,,,,,
B28H1804,001,06-02-2014,49,-8,1952,,,,,,
B28H1804,001,07-02-2014,47,-10,1954,,,,,,
B28H1804,001,08-02-2014,47,-10,1954,,,,,,
